comment_counter,article_id,data_type,is_empty,ID,parentID,status,text,edited,timestamp,isModerator,threadID,TotalVotes,highlightGroups,moderatorEdit,negVotes,streamId,vote,descendantsCount,threadTimestamp,flagCount,posVotes,sender_isSelf,sender_loginProvider,author
source1_14513047_0_0,14513047,comment,N,06d713733fac458ca5d923caeba6ead8,d4280d38af674d489f71d5f75d475ce6,published,You sound like Justin Trudeau.,False,1380230430305,False,d4280d38af674d489f71d5f75d475ce6,0,[],,1,14513047,none,,0,0,1,False,Site,jaredc
source1_14513047_1,14513047,comment,N,f45856e6fb1a465e8086e267feb7c5ed,,published,"I love the line we want to tax corporations rather than tax people.  How dumb are we, adding taxes on corporations will be passed on to the cost of goods and paid for by all of us.If a politician says he is going to tax gasoline we will all be up in arms.  If he says he is going to tax oil companies profits we cheer.  Sorry for the bad news but it is the same thing, just one is added at the end and the other is buried in the cost.",False,1380119158116,False,,6,[],,2,14513047,none,1,1380141808325,0,8,False,Site,Beach41
source1_14513047_1_0,14513047,comment,N,020e022f42c542448f1c0360fc1b957d,f45856e6fb1a465e8086e267feb7c5ed,published,"It was funny when Jean Charest added an other tax on Oil Cos here in Quebec - we trust they wont pass this on to consumers. First day, up goes the price of gas.",False,1380141808325,False,f45856e6fb1a465e8086e267feb7c5ed,2,[],,,14513047,none,,0,0,2,False,Site,Just call me Nemo
source1_14513047_2,14513047,comment,N,1db88ac149fc4f6e83c54cf83445de2d,,published,"My childhood neighbourhood in Hamilton has a life expectancy now of 65.5 years, in Ancaster a few miles away it's 86 years.  Are you seriously suggesting that a person who lives 20 years less is a greater burden on the health care system?  The cost of looking after healthy people who end up in LTC with Alzheimer's after a few hip and knees replacements, 20 more years of colonoscopies and mammograms and cataract surgeries, is more than the cost of looking after a poor person who dies at 65.5 no matter what their health related issues are.  I would say if you looked at the numbers everyone ends up using a pretty good chunk of change unless you get killed by a bus while crossing the street.     ",False,1380108714492,False,,6,[],,6,14513047,none,3,1380169199402,0,12,False,Site,detalumis
source1_14513047_2_0,14513047,comment,N,1f74f1d2a3a34dbdaa71cbb80345383a,1db88ac149fc4f6e83c54cf83445de2d,published,"The reality is that on average about 1/3 of your lifetime health care spending is likely to come in your last six months of your life.  Whether you die at 65.5 or at 85, the amounts may be similar.  If the folks in Hamilton are dying much younger, then they have likely had numerous health ailments before they died that put lots of costs on the health care system.",False,1380136205282,False,1db88ac149fc4f6e83c54cf83445de2d,3,[],,,14513047,none,,0,0,3,False,Site,J. K. Galbraith
source1_14513047_2_1,14513047,comment,N,66177bc8de42439a80460fb80a3d6b0a,1db88ac149fc4f6e83c54cf83445de2d,published,"Detalumis, your comment reminds me of a study that was done in the Netherlands that showed how cigarettes save taxpayer dollars.  By killing people off at an earlier age, there is less money getting paid out in pensions, long term care, and other health benefits, and apparently these savings more than offset the cost of cancer treatments.  Although I have yet to see a cigarette company take advantage of this.  Something along the lines of:  'Are you concerned that you don't have enough retirement savings to finance 20+ years of retirement?  Smoke Brand X and we'll solve your problem by reducing the time you spend in retirement....'",False,1380137568630,False,1db88ac149fc4f6e83c54cf83445de2d,4,[],,,14513047,none,,0,0,4,False,Site,Khawaja Khawaja
source1_14513047_2_2,14513047,comment,N,616f446061094abcadcc3c7e5440215c,1db88ac149fc4f6e83c54cf83445de2d,published,''''chunk of change''''  ???,False,1380169199402,False,1db88ac149fc4f6e83c54cf83445de2d,0,[],,,14513047,none,,0,0,,False,Site,David Gibson
source1_14513047_3,14513047,comment,N,0e44d73a230540ababf90e3b11adf244,,published,"'The rich, whatever that means...'It means the elite, Mr Simpson. Those who actually run societies, and whose views are often trumpeted on their behalf by others. For example, the Thomson family. Owners of the Globe and Mail.  ",False,1380117378873,False,,5,[],,5,14513047,none,3,1380146209451,0,10,False,Site,TiuLeek
source1_14513047_3_0,14513047,comment,N,5679a82f36e24b0f83d77557fd35ce80,0e44d73a230540ababf90e3b11adf244,published,"and this is not the 1%,  maybe.01%.",False,1380119263013,False,0e44d73a230540ababf90e3b11adf244,6,[],,,14513047,none,,0,0,6,False,Site,Beach41
source1_14513047_3_1,14513047,comment,N,234c197707754374b37708ae4c5e2796,0e44d73a230540ababf90e3b11adf244,published,"Spot on, TL. Mr. Simpson is disparaging of the concern for a disappearing middle class:  'But the middle class, however defined, is the Holy Grail for the Conservatives, NDP and Liberals,' even while purposely neglecting to tell us why politicians of all parties would pursue this course.The folks in Karl Marx' famous 'lumpen prole' category, the marginalized and dispossessed of today, tend not to vote, for one thing. And in saying that they are being ignored in the rush to discuss the fortunes of the middle, our columnist knows very well that anything else does not play well with those who DO turn out to vote, as sympathetic as they may be. Steve knows this, and New Democrats, between that rock of outrage at poverty and the hard place of elections, is learning.No, the rush to consider the middle is to put forward the economic argument that re-building the middle will help to re-build an economy that is now in debt and in the pocket of finance capitalism. And Mr. Simpson won't touch that any more than he'll criticize the Thomson family.",False,1380123053396,False,0e44d73a230540ababf90e3b11adf244,2,[],,1,14513047,none,,0,0,3,False,Site,George Victor 1
source1_14513047_3_2,14513047,comment,N,01b252f7e11a40dcb90727fd400148ae,0e44d73a230540ababf90e3b11adf244,published,Well said RiuLeek,False,1380146209451,False,0e44d73a230540ababf90e3b11adf244,0,[],,1,14513047,none,,0,0,1,False,Site,Barrylane1
source1_14513047_4,14513047,comment,N,950c95f1a1e64691a62ad2214ba89f91,,published,"I've seen detailed research that says that if there is a growing and healthy middle class in a society, then low income people are able to move out of poverty more easily.  There are several great causes for poverty, I am not an expert, but I would say health issues play prominently with a person's chance of getting out of poverty. I am talking about physical and mental health causes. But most people might say that health issues especially are not being adequately addressed by key players in society. And the reasons are quite clear. Since people with mental health issues have a stigma associated with them, and people in the elite and in a position to make a difference don't care that much about the issues, nothing really gets done there. It's as simple as that. And you can have one big physical health issue and your ability to work and income that goes with it is suddenly cut. These are the some of the issues that cause poverty, in addition to those old standbys; abuse, neglect and ignorance. ",False,1380115184531,False,,5,[],,2,14513047,none,,1380115184531,0,7,False,Site,dazzer
source1_14513047_5,14513047,comment,N,427e24c01bd540b1bd59cbc8d8dbd12b,,published,"The poor should be pulled up rather than the rich pulled down.Reagan was right in saying that if poverty and dependency is sibsisidized there is more of it.Having been poor, I didn't like it at all...I was helped up...god knows what my fate would have been had my poverty been subsidized.The middle class represent the future...the aristocrats and ubber rich, the past.",False,1380110548367,False,,5,[],,8,14513047,none,5,1380156606343,0,13,False,Site,Ascalepius
source1_14513047_5_0,14513047,comment,N,c7227ab9d7724eafaca5b67b492cb92c,427e24c01bd540b1bd59cbc8d8dbd12b,published,"I'm not sure what you think the difference is between 'subsidy' and 'help', but I assure you it is not as well-defined as you imply.  Also, are you suggesting that others DO like being poor?",False,1380119536827,False,427e24c01bd540b1bd59cbc8d8dbd12b,3,[],,1,14513047,none,,0,0,4,False,Site,LazarusLoafer
source1_14513047_5_1,14513047,comment,N,2854eb3a94c247a29e0cf70ad2b0c05f,427e24c01bd540b1bd59cbc8d8dbd12b,published,The current mess can be traced back directly to Reagan's myth of 'trickle down' economics. ,False,1380120217162,False,427e24c01bd540b1bd59cbc8d8dbd12b,5,[],,3,14513047,none,,0,0,8,False,Site,MVP10
source1_14513047_5_2,14513047,comment,N,0d59b007ba1645289fa039a21c80ff7e,427e24c01bd540b1bd59cbc8d8dbd12b,published,"Help is not a subsidy.In my case, having arrived in the UK as a DP, an old lady who knew the educational system helped me to navigate it...which exams to try , which scholarships to apply for.Her guidance was worth its weight in gold and for which I am eternally grateful for.Being penniless has its virtues, it concentrates the mind...if the state offered me unlimited quantities of lager instead, I could not have made it.",False,1380135215417,False,427e24c01bd540b1bd59cbc8d8dbd12b,3,[],,3,14513047,none,,0,0,6,False,Site,Ascalepius
source1_14513047_5_3,14513047,comment,N,d2fe2a1cf7c44e369c0766acd2b99f54,427e24c01bd540b1bd59cbc8d8dbd12b,published,"@Lazarus...By the sounds of it, Ascalepius was inferring that there are those that 'make' a living off Welfare etc.There is!Sometimes those making a living off Welfare, need a nudge/assistance to get them Off Welfare.Correct me if I'm wrong.",False,1380147715021,False,427e24c01bd540b1bd59cbc8d8dbd12b,-1,[],,3,14513047,none,,0,0,2,False,Site,chiapetthewise
source1_14513047_5_4,14513047,comment,N,db00607f9d464cfca8d139ba2db3a5c5,427e24c01bd540b1bd59cbc8d8dbd12b,published,"Particularly those lazy kids eh...nudge, nudge.It would seem you are not about to commit sociology or history and come to a conclusion about the nature of poverty outside of Biblical assessment or Orphan Annie experience .",False,1380156606343,False,427e24c01bd540b1bd59cbc8d8dbd12b,1,[],,1,14513047,none,,0,0,2,False,Site,George Victor 1
source1_14513047_6,14513047,comment,N,8f697c389f3f464092118ea81cfb573a,,rejected,This comment has been deleted,False,1380153647073,False,,0,,False,0,14513047,none,1,1380175296963,0,0,False,,[removed]
source1_14513047_6_0,14513047,comment,N,f5acb84da306429dbd962ad0a06c2054,8f697c389f3f464092118ea81cfb573a,published,"As part of the socialist scum, now 85 with an income of $ 26,00 I am able to give over $10,00 a year to charities as my sister left me with half a million in 2005. Since then I've given away over $300,000 and am proud that I supported my M.P. Elizabeth May but am still a dipper at heart.  We need to tax the rich and very rich three to five times what they pay now. Greed seems to be the main raison d'etre for far too many. ",False,1380175296963,False,8f697c389f3f464092118ea81cfb573a,-1,[],,2,14513047,none,,0,0,1,False,Site,saltspringisland
source1_14513047_7,14513047,comment,N,90055683db5e4f2d86be3fd56fabbf91,,published,"This is quite the article from Simpson.  I expect Jeff is doing very well for himself, and no doubt pays his fair share of taxes.  However, given his suggestion more needs to be done.  If he gives over half his income to charity I'd be more inclined to cut him some slack.  It's not just a question of more money.  Literally billions were donated to Haiti after their last disaster, yet it appears to have had much less impact than it should have.  Likely because as the money flows far to many people siphoned much of it away from its intended purpose to their own pockets.  There is a balance between what society can and should do for the 'poor', and what the poor in affluent countries need to do for themselves.  I don't know that JS, nor most governments (federal, provincial, municipal)  have yet to find the correct balance.  Jeff adds little value, telling us what we already know, yet offering no concrete suggestions.    ",False,1380141676211,False,,3,[],,1,14513047,none,,1380141676211,0,4,False,Site,S TW Ottawa
source1_14513047_8,14513047,comment,N,ef1e31903e6f4ffc9c53cf2ea69691db,,published,In all this talk about 'class' - whatever happened to the 'working class'?,False,1380116552335,False,,3,[],,3,14513047,none,3,1380151587964,0,6,False,Site,spectator3
source1_14513047_8_0,14513047,comment,N,e1ede4b9165640ec800a52693c155751,ef1e31903e6f4ffc9c53cf2ea69691db,published,"They're being replaced by machines. Well, at least their work is. Their purchasing power isn't, and that's a significant problem for others to worry about sometime in the future. ",False,1380117541493,False,ef1e31903e6f4ffc9c53cf2ea69691db,4,[],,,14513047,none,,0,0,4,False,Site,TiuLeek
source1_14513047_8_1,14513047,comment,N,dbac4b6a1fa744e586e080002807729e,ef1e31903e6f4ffc9c53cf2ea69691db,published,@TiuLeek i hope that when you say 'others' and 'the future' you mean 'everyone' and 'now',False,1380119596997,False,ef1e31903e6f4ffc9c53cf2ea69691db,4,[],,,14513047,none,,0,0,4,False,Site,LazarusLoafer
source1_14513047_8_2,14513047,comment,N,ce37f07e2d4c49a69e5bb87d694aefc6,ef1e31903e6f4ffc9c53cf2ea69691db,published,"Middle class is a term used by politicians and too many organized labour leaders.It's used to divide and confuse workers into believing that they are not 'working class' i.e. they are better than that because they have a house, a car or two, etc.Ones class is not determined by ownership of things but by ones relationship to the means of production.",False,1380151587964,False,ef1e31903e6f4ffc9c53cf2ea69691db,4,[],,,14513047,none,,0,0,4,False,Site,YYZ
source1_14513047_9,14513047,comment,N,81a9bb50ceb54646a6d7816b0ced084f,,published,"The top % class have the most dollars to finance political parties, the 'middle class' has the most votes.Hence, the substantial dollar investments by the top % classto brainwash the middle voters in adopting its aims and values , through all sorts of mass media.  ",False,1380122261210,False,,2,[],,5,14513047,none,,1380122261210,0,7,False,Site,claroch
source1_14513047_10,14513047,comment,N,c048fe19ec324a7ca5cc7bb47acdc3df,,published,"Part of the reason that so many people identify as 'middle class', at least in Canada, is that progressive taxation has the effect of compacting the range of lifestyles across a fairly broad range of incomes, with exceptions at the extremes.The family with a median income (50th percentile) and a family right at the 1st percentile (the 1% mark) don't live terribly differently. The latter has more choices and opportunities, but they both are net taxpayers, both are more likely to own their own home than not, more likely to send their kids to public school than not, both worry about keeping their jobs, etc.Once you get into the bottom 20% and the top 1%, living conditions of those families change drastically with small changes in income rank.  The difference between the 10th percentile and 20th is huge compared to 50th vs 60th.  Similarly, the 0.1% live comfortably while the 1.1%er remains a 'battler'.  The 0.01% of course live lives that are almost incomprehensible to the rest.",False,1380120181603,False,,2,[],,2,14513047,none,1,1380141704120,0,4,False,Site,DollyParker
source1_14513047_10_0,14513047,comment,N,33ef2b17fb42469aa3487189df3b5039,c048fe19ec324a7ca5cc7bb47acdc3df,published,"'but they both are net taxpayers,' You need to be about the top 25% (top quartile) to be a net tax payer",False,1380141704120,False,c048fe19ec324a7ca5cc7bb47acdc3df,0,[],,,14513047,none,,0,0,,False,Site,Just call me Nemo
source1_14513047_11,14513047,comment,N,950cb968d9234798820236bb1048edec,,published,The Harper gang believes in the Republican brand of economics that tends to favour the rich and turn the middle class into poor people.,False,1380115005918,False,,2,[],,9,14513047,none,,1380115005918,0,11,False,Site,MVP10
source1_14513047_12,14513047,comment,N,804a7cc2a7ce4f6dae82776f8ca26ece,,published,"The last 50 years of Canadian history has been lead and dominated mostly by people who consider themselves liberals or socialists, and most of those have been and/or are in the media - which is why they went to journalism school in the first place.  Yet, for all their concern about 'the poor,' there is zero expression about, or by, working class people in national media. The poor are regarded as some foreign species to be pitied, needy peasants unworthy of having opinions, with lives too painfully dull for exposure or examination.The middle class, by comparison, inherit homes, cottages, education, money, jobs, etc. etc..  Their concern for the less fortunate contains a significant amount of guilt, which does nothing to help them relate to the underclasses.",False,1380169802874,False,,1,[],,,14513047,none,1,1380213446895,0,1,False,Site,David Gibson
